epoch | loss | sim_loss | var_loss | feat_std | feat_norm | val_loss | val_sim_loss | val_var_loss | val_feat_std | val_feat_norm
44 | 5.7520 | 0.0003 | 0.2301 | 3.5763 | 68.1315 | 12.4917 | 0.0002 | 0.4997 | 2.5129 | 69.2184
45 | 5.6818 | 0.0003 | 0.2273 | 3.6106 | 68.8094 | 12.3219 | 0.0002 | 0.4929 | 2.5654 | 70.5712
46 | 5.6652 | 0.0003 | 0.2266 | 3.6634 | 69.8132 | 12.1415 | 0.0002 | 0.4857 | 2.6065 | 72.4263
47 | 5.8828 | 0.0003 | 0.2353 | 3.6998 | 70.5159 | 12.1844 | 0.0002 | 0.4874 | 2.6035 | 72.9952
48 | 5.6905 | 0.0003 | 0.2276 | 3.7304 | 71.6967 | 12.1505 | 0.0002 | 0.4860 | 2.6112 | 73.9498
49 | 5.8591 | 0.0003 | 0.2344 | 3.7461 | 72.2436 | 12.2391 | 0.0003 | 0.4896 | 2.5992 | 74.0355
50 | 5.8919 | 0.0003 | 0.2357 | 3.7682 | 73.0751 | 12.0224 | 0.0002 | 0.4809 | 2.6425 | 75.3246
51 | 5.8377 | 0.0003 | 0.2335 | 3.8100 | 74.4058 | 11.9685 | 0.0003 | 0.4787 | 2.6141 | 76.2423
52 | 6.0193 | 0.0003 | 0.2408 | 3.8251 | 75.0806 | 11.9787 | 0.0003 | 0.4791 | 2.6812 | 77.6241
53 | 6.0042 | 0.0003 | 0.2402 | 3.9005 | 75.9128 | 11.7263 | 0.0002 | 0.4690 | 2.7171 | 78.0257
54 | 5.8839 | 0.0003 | 0.2353 | 3.9671 | 77.3694 | 11.7907 | 0.0002 | 0.4716 | 2.7358 | 79.2677
55 | 5.8869 | 0.0003 | 0.2355 | 4.0007 | 78.1774 | 11.8691 | 0.0002 | 0.4748 | 2.7766 | 80.8566
56 | 5.9227 | 0.0003 | 0.2369 | 4.0633 | 79.3141 | 11.5885 | 0.0002 | 0.4635 | 2.8016 | 81.7620
57 | 5.8980 | 0.0003 | 0.2359 | 4.0983 | 80.4537 | 11.8354 | 0.0003 | 0.4734 | 2.8233 | 82.2495
58 | 6.0118 | 0.0003 | 0.2405 | 4.1363 | 81.3755 | 11.5855 | 0.0002 | 0.4634 | 2.8579 | 83.7380
59 | 5.9491 | 0.0003 | 0.2380 | 4.1478 | 81.8178 | 11.6909 | 0.0002 | 0.4676 | 2.8246 | 82.8632
60 | 6.0531 | 0.0003 | 0.2421 | 4.1939 | 82.2387 | 11.5128 | 0.0002 | 0.4605 | 2.9140 | 84.9512
61 | 5.9822 | 0.0003 | 0.2393 | 4.2624 | 83.4572 | 11.4172 | 0.0002 | 0.4567 | 2.9328 | 85.7765
62 | 6.1388 | 0.0003 | 0.2455 | 4.2632 | 83.7783 | 11.6398 | 0.0002 | 0.4656 | 2.9234 | 85.8669
63 | 6.0144 | 0.0003 | 0.2406 | 4.3024 | 84.5896 | 11.6807 | 0.0002 | 0.4672 | 2.8984 | 85.4852
64 | 6.0772 | 0.0003 | 0.2431 | 4.3067 | 85.1516 | 11.7536 | 0.0002 | 0.4701 | 2.9012 | 87.2940
65 | 6.0918 | 0.0003 | 0.2437 | 4.3632 | 86.3273 | 12.0156 | 0.0002 | 0.4806 | 2.9126 | 88.0939
66 | 6.2037 | 0.0003 | 0.2481 | 4.4062 | 86.9781 | 12.0090 | 0.0008 | 0.4803 | 2.7961 | 89.1455
67 | 6.2994 | 0.0003 | 0.2520 | 4.3960 | 87.8248 | 12.0652 | 0.0002 | 0.4826 | 2.9265 | 90.7666
68 | 6.1697 | 0.0002 | 0.2468 | 4.5038 | 89.5792 | 11.8959 | 0.0006 | 0.4758 | 2.9185 | 90.6804
69 | 6.2887 | 0.0003 | 0.2515 | 4.5409 | 90.4419 | 11.8534 | 0.0002 | 0.4741 | 2.9774 | 92.5958
70 | 6.1190 | 0.0002 | 0.2448 | 4.5774 | 91.6823 | 11.8342 | 0.0002 | 0.4734 | 2.9968 | 92.5336
71 | 6.1763 | 0.0002 | 0.2470 | 4.6044 | 91.9610 | 11.8846 | 0.0002 | 0.4754 | 2.9916 | 92.7134
72 | 6.1982 | 0.0002 | 0.2479 | 4.6350 | 92.8411 | 11.3504 | 0.0002 | 0.4540 | 3.0539 | 95.9800
73 | 6.1351 | 0.0002 | 0.2454 | 4.6837 | 94.1163 | 11.8125 | 0.0002 | 0.4725 | 3.0074 | 95.6371
74 | 6.2606 | 0.0002 | 0.2504 | 4.7027 | 94.5661 | 11.5998 | 0.0002 | 0.4640 | 3.0628 | 96.5941
75 | 6.1723 | 0.0002 | 0.2469 | 4.7649 | 95.7817 | 11.8324 | 0.0002 | 0.4733 | 3.1002 | 96.6556
76 | 6.3083 | 0.0002 | 0.2523 | 4.7836 | 95.9588 | 11.7282 | 0.0002 | 0.4691 | 3.1468 | 98.7160
77 | 6.2555 | 0.0002 | 0.2502 | 4.8628 | 97.2754 | 11.8325 | 0.0002 | 0.4733 | 3.1927 | 99.6730
78 | 6.4249 | 0.0002 | 0.2570 | 4.8995 | 97.4138 | 11.9673 | 0.0002 | 0.4787 | 3.2418 | 101.3425
79 | 6.3556 | 0.0002 | 0.2542 | 4.9326 | 98.3178 | 12.0501 | 0.0002 | 0.4820 | 3.2181 | 101.1830
80 | 6.3611 | 0.0002 | 0.2544 | 4.9409 | 98.7279 | 11.8889 | 0.0002 | 0.4755 | 3.2458 | 102.2911
81 | 6.3697 | 0.0002 | 0.2548 | 5.0012 | 99.8714 | 11.9266 | 0.0002 | 0.4771 | 3.3233 | 103.1221
82 | 6.3838 | 0.0002 | 0.2553 | 5.0270 | 100.7646 | 11.6883 | 0.0002 | 0.4675 | 3.3204 | 104.2451
83 | 6.4453 | 0.0002 | 0.2578 | 5.0605 | 101.6026 | 11.5384 | 0.0002 | 0.4615 | 3.3942 | 105.2321
84 | 6.4182 | 0.0002 | 0.2567 | 5.1010 | 102.4043 | 11.3223 | 0.0002 | 0.4529 | 3.4304 | 106.4595
85 | 6.4338 | 0.0002 | 0.2573 | 5.1085 | 103.0103 | 11.7309 | 0.0002 | 0.4692 | 3.4309 | 105.6232
86 | 6.6141 | 0.0002 | 0.2646 | 5.1184 | 103.0683 | 11.5007 | 0.0002 | 0.4600 | 3.3756 | 106.4497
87 | 6.4992 | 0.0002 | 0.2600 | 5.1801 | 104.6799 | 11.6838 | 0.0002 | 0.4673 | 3.3974 | 107.6456
88 | 6.5469 | 0.0002 | 0.2619 | 5.2558 | 105.7041 | 11.9094 | 0.0002 | 0.4764 | 3.4079 | 107.8438
89 | 6.6835 | 0.0002 | 0.2673 | 5.2504 | 105.7156 | 12.0592 | 0.0001 | 0.4824 | 3.4011 | 108.3882
90 | 6.8178 | 0.0002 | 0.2727 | 5.2565 | 105.9500 | 11.9813 | 0.0001 | 0.4792 | 3.4234 | 108.4844
91 | 6.6461 | 0.0002 | 0.2658 | 5.3126 | 107.8453 | 11.8673 | 0.0001 | 0.4747 | 3.4724 | 110.2551
92 | 6.7361 | 0.0002 | 0.2694 | 5.3469 | 108.0154 | 11.9333 | 0.0002 | 0.4773 | 3.5198 | 111.8923
93 | 6.7269 | 0.0002 | 0.2691 | 5.3858 | 109.1295 | 12.3268 | 0.0002 | 0.4931 | 3.4926 | 112.0224
94 | 6.7534 | 0.0002 | 0.2701 | 5.4355 | 109.9906 | 12.1483 | 0.0001 | 0.4859 | 3.5080 | 113.3615
95 | 6.7067 | 0.0002 | 0.2683 | 5.5197 | 111.1393 | 11.7770 | 0.0001 | 0.4711 | 3.6264 | 114.9966
96 | 6.5621 | 0.0002 | 0.2625 | 5.5461 | 111.9706 | 11.8777 | 0.0001 | 0.4751 | 3.6302 | 114.9292
97 | 6.6860 | 0.0002 | 0.2674 | 5.5553 | 111.8541 | 12.0822 | 0.0001 | 0.4833 | 3.6865 | 114.6609
98 | 6.7582 | 0.0002 | 0.2703 | 5.6332 | 112.8761 | 12.2489 | 0.0001 | 0.4899 | 3.7220 | 115.2108
99 | 6.8676 | 0.0002 | 0.2747 | 5.6532 | 112.8991 | 12.0525 | 0.0001 | 0.4821 | 3.6765 | 117.2527
100 | 6.9283 | 0.0002 | 0.2771 | 5.6585 | 113.6103 | 12.1636 | 0.0001 | 0.4865 | 3.7483 | 116.6781
