epoch | loss | sim_loss | var_loss | feat_std | feat_norm | val_loss | val_sim_loss | val_var_loss | val_feat_std | val_feat_norm
44 | 7.9665 | 0.0003 | 0.3187 | 4.9201 | 99.9046 | 14.0203 | 0.0002 | 0.5608 | 3.2869 | 101.7832
45 | 8.1392 | 0.0003 | 0.3256 | 4.9339 | 100.1168 | 14.0141 | 0.0002 | 0.5606 | 3.3078 | 102.4334
46 | 8.0923 | 0.0003 | 0.3237 | 5.0143 | 100.9831 | 14.8709 | 0.0002 | 0.5948 | 3.2222 | 103.5034
47 | 8.1994 | 0.0003 | 0.3280 | 5.0354 | 101.7123 | 15.0801 | 0.0002 | 0.6032 | 3.2317 | 105.0734
48 | 8.4723 | 0.0003 | 0.3389 | 5.0212 | 101.2253 | 14.7233 | 0.0003 | 0.5889 | 3.3134 | 106.5411
49 | 8.4514 | 0.0003 | 0.3380 | 5.0998 | 102.5292 | 14.6403 | 0.0003 | 0.5856 | 3.3752 | 105.1698
50 | 8.4781 | 0.0003 | 0.3391 | 5.1341 | 103.1564 | 14.6468 | 0.0003 | 0.5859 | 3.3824 | 105.9127
51 | 8.5446 | 0.0003 | 0.3418 | 5.1055 | 104.1716 | 14.2776 | 0.0003 | 0.5711 | 3.3898 | 106.2203
52 | 8.5089 | 0.0003 | 0.3403 | 5.1040 | 104.6181 | 14.3399 | 0.0003 | 0.5736 | 3.3726 | 107.8527
53 | 8.4615 | 0.0003 | 0.3384 | 5.1280 | 105.5053 | 14.2171 | 0.0003 | 0.5687 | 3.4180 | 107.9569
54 | 8.4932 | 0.0003 | 0.3397 | 5.1603 | 106.2820 | 14.1780 | 0.0003 | 0.5671 | 3.4281 | 108.4510
55 | 8.4697 | 0.0003 | 0.3388 | 5.1935 | 107.0077 | 14.4930 | 0.0003 | 0.5797 | 3.4327 | 110.2029
56 | 8.6156 | 0.0003 | 0.3446 | 5.1952 | 107.6257 | 14.3225 | 0.0003 | 0.5729 | 3.4718 | 110.0964
57 | 8.5228 | 0.0004 | 0.3409 | 5.2629 | 108.2962 | 14.3247 | 0.0003 | 0.5730 | 3.5545 | 111.7589
58 | 8.4840 | 0.0004 | 0.3393 | 5.3387 | 108.9339 | 14.2492 | 0.0003 | 0.5700 | 3.5944 | 112.3008
59 | 8.5769 | 0.0004 | 0.3431 | 5.3661 | 109.6132 | 13.8733 | 0.0003 | 0.5549 | 3.6354 | 112.9586
60 | 8.6634 | 0.0004 | 0.3465 | 5.3880 | 110.0534 | 14.1128 | 0.0004 | 0.5645 | 3.5814 | 115.3880
61 | 8.5984 | 0.0004 | 0.3439 | 5.4341 | 111.0952 | 13.8227 | 0.0003 | 0.5529 | 3.6838 | 114.4785
62 | 8.5681 | 0.0004 | 0.3427 | 5.4443 | 111.9521 | 13.6975 | 0.0003 | 0.5479 | 3.7492 | 115.3431
63 | 8.5035 | 0.0004 | 0.3401 | 5.5017 | 112.0718 | 13.3786 | 0.0004 | 0.5351 | 3.7832 | 115.3375
64 | 8.4837 | 0.0004 | 0.3393 | 5.5104 | 112.9048 | 13.3836 | 0.0004 | 0.5353 | 3.7845 | 115.3679
65 | 8.6844 | 0.0004 | 0.3474 | 5.5162 | 113.1262 | 13.3211 | 0.0003 | 0.5328 | 3.8114 | 117.2422
66 | 8.7854 | 0.0004 | 0.3514 | 5.5178 | 113.4431 | 13.1688 | 0.0004 | 0.5267 | 3.8834 | 116.6697
67 | 8.7601 | 0.0004 | 0.3504 | 5.5546 | 114.0536 | 13.0145 | 0.0004 | 0.5206 | 3.8556 | 118.2357
68 | 8.8838 | 0.0004 | 0.3553 | 5.4949 | 114.2166 | 12.8090 | 0.0004 | 0.5123 | 3.8648 | 117.8540
69 | 8.8294 | 0.0004 | 0.3532 | 5.5021 | 114.9180 | 12.8543 | 0.0004 | 0.5142 | 3.8158 | 116.3296
70 | 8.7776 | 0.0004 | 0.3511 | 5.4805 | 115.1116 | 12.8190 | 0.0004 | 0.5127 | 3.7925 | 116.7730
71 | 8.7560 | 0.0004 | 0.3502 | 5.4608 | 115.5159 | 12.7302 | 0.0004 | 0.5092 | 3.7866 | 117.3641
72 | 8.8044 | 0.0004 | 0.3522 | 5.4215 | 115.0309 | 12.7080 | 0.0004 | 0.5083 | 3.7737 | 119.0452
73 | 8.7766 | 0.0004 | 0.3510 | 5.4474 | 115.6199 | 12.7524 | 0.0004 | 0.5101 | 3.7899 | 118.4980
74 | 8.8668 | 0.0004 | 0.3547 | 5.4394 | 115.6649 | 12.6998 | 0.0004 | 0.5080 | 3.7982 | 117.5474
75 | 8.8843 | 0.0005 | 0.3554 | 5.4647 | 115.6364 | 12.6391 | 0.0004 | 0.5055 | 3.8184 | 118.7184
76 | 8.8203 | 0.0005 | 0.3528 | 5.4874 | 115.9363 | 12.6294 | 0.0004 | 0.5052 | 3.8375 | 118.6229
77 | 8.8905 | 0.0005 | 0.3556 | 5.4794 | 115.4379 | 12.4337 | 0.0004 | 0.4973 | 3.8432 | 118.8355
78 | 8.9147 | 0.0005 | 0.3566 | 5.4671 | 115.2754 | 12.4399 | 0.0004 | 0.4976 | 3.8533 | 117.7883
79 | 8.9280 | 0.0005 | 0.3571 | 5.4722 | 115.2230 | 12.1692 | 0.0004 | 0.4868 | 3.8815 | 118.5948
80 | 8.8805 | 0.0005 | 0.3552 | 5.4852 | 115.5803 | 12.4172 | 0.0004 | 0.4967 | 3.8449 | 118.8736
81 | 8.7870 | 0.0005 | 0.3515 | 5.5157 | 116.0066 | 12.2631 | 0.0004 | 0.4905 | 3.8630 | 118.5612
82 | 8.9130 | 0.0005 | 0.3565 | 5.4887 | 115.2859 | 12.4150 | 0.0004 | 0.4966 | 3.8251 | 117.6021
83 | 8.8258 | 0.0005 | 0.3530 | 5.4899 | 115.7275 | 12.1527 | 0.0004 | 0.4861 | 3.8657 | 119.3941
84 | 8.7146 | 0.0005 | 0.3486 | 5.5111 | 116.1621 | 12.2992 | 0.0004 | 0.4920 | 3.8548 | 118.6442
85 | 8.7475 | 0.0005 | 0.3499 | 5.5105 | 115.9846 | 12.3373 | 0.0004 | 0.4935 | 3.8358 | 118.3340
86 | 8.8255 | 0.0005 | 0.3530 | 5.4943 | 115.5962 | 12.2532 | 0.0004 | 0.4901 | 3.8493 | 118.6406
87 | 8.9011 | 0.0005 | 0.3560 | 5.4828 | 115.2193 | 12.1837 | 0.0004 | 0.4873 | 3.8669 | 118.6865
88 | 8.9023 | 0.0005 | 0.3561 | 5.4871 | 115.2302 | 12.2355 | 0.0004 | 0.4894 | 3.8676 | 118.6865
89 | 8.9230 | 0.0005 | 0.3569 | 5.4861 | 115.0564 | 12.2815 | 0.0004 | 0.4912 | 3.8494 | 118.1827
90 | 9.0136 | 0.0005 | 0.3605 | 5.4697 | 114.5462 | 12.4180 | 0.0004 | 0.4967 | 3.8241 | 117.8074
