epoch | loss | sim_loss | var_loss | feat_std | feat_norm | val_loss | val_sim_loss | val_var_loss | val_feat_std | val_feat_norm
44 | 5.9196 | 0.0002 | 0.2368 | 3.3077 | 64.3002 | 12.1332 | 0.0002 | 0.4853 | 2.2477 | 66.2809
45 | 5.8756 | 0.0002 | 0.2350 | 3.3523 | 65.5134 | 11.9810 | 0.0002 | 0.4792 | 2.2756 | 66.3790
46 | 5.8526 | 0.0002 | 0.2341 | 3.4045 | 66.7612 | 11.9449 | 0.0002 | 0.4778 | 2.3428 | 67.9265
47 | 6.0176 | 0.0002 | 0.2407 | 3.4528 | 67.8749 | 11.7923 | 0.0002 | 0.4717 | 2.3809 | 68.7000
48 | 6.1089 | 0.0002 | 0.2443 | 3.4736 | 68.4513 | 11.4473 | 0.0002 | 0.4579 | 2.4636 | 69.2426
49 | 6.1598 | 0.0002 | 0.2464 | 3.5068 | 69.0763 | 11.5157 | 0.0004 | 0.4606 | 2.4099 | 71.7087
50 | 5.9812 | 0.0002 | 0.2392 | 3.5681 | 70.4344 | 11.0481 | 0.0002 | 0.4419 | 2.5476 | 71.7873
51 | 6.2180 | 0.0002 | 0.2487 | 3.5836 | 70.3964 | 11.4900 | 0.0002 | 0.4596 | 2.5012 | 71.1445
52 | 6.1446 | 0.0002 | 0.2458 | 3.6208 | 71.8700 | 10.6117 | 0.0002 | 0.4245 | 2.5639 | 74.6159
53 | 6.2067 | 0.0002 | 0.2483 | 3.6067 | 73.0751 | 10.7185 | 0.0002 | 0.4287 | 2.5289 | 74.8755
54 | 6.0149 | 0.0002 | 0.2406 | 3.6761 | 74.5795 | 10.5278 | 0.0002 | 0.4211 | 2.5681 | 75.7768
55 | 5.9658 | 0.0002 | 0.2386 | 3.7345 | 75.1743 | 10.4464 | 0.0004 | 0.4178 | 2.6012 | 79.1680
56 | 5.9008 | 0.0002 | 0.2360 | 3.7733 | 76.1348 | 10.2859 | 0.0002 | 0.4114 | 2.6434 | 77.4834
57 | 5.9826 | 0.0002 | 0.2393 | 3.7983 | 76.9211 | 11.0471 | 0.0002 | 0.4419 | 2.6387 | 77.7156
58 | 6.0334 | 0.0002 | 0.2413 | 3.8463 | 77.9131 | 10.8588 | 0.0001 | 0.4343 | 2.7036 | 80.2545
59 | 5.9707 | 0.0002 | 0.2388 | 3.8993 | 79.2672 | 10.2618 | 0.0001 | 0.4105 | 2.7431 | 81.8870
60 | 6.0676 | 0.0002 | 0.2427 | 3.8895 | 79.5047 | 11.1096 | 0.0002 | 0.4444 | 2.6838 | 81.4759
61 | 6.1375 | 0.0002 | 0.2455 | 3.9456 | 80.2194 | 11.2842 | 0.0002 | 0.4514 | 2.6800 | 81.7660
62 | 6.0998 | 0.0002 | 0.2440 | 4.0142 | 81.9636 | 10.8315 | 0.0001 | 0.4333 | 2.7492 | 83.5068
63 | 6.2251 | 0.0002 | 0.2490 | 4.0410 | 82.2663 | 10.6268 | 0.0004 | 0.4251 | 2.7835 | 86.1572
64 | 6.1567 | 0.0002 | 0.2463 | 4.0874 | 83.5969 | 10.8531 | 0.0001 | 0.4341 | 2.8444 | 85.7388
65 | 6.3808 | 0.0002 | 0.2552 | 4.1331 | 84.2707 | 10.5608 | 0.0002 | 0.4224 | 2.8541 | 86.1308
66 | 6.2693 | 0.0002 | 0.2508 | 4.1613 | 85.4126 | 10.6222 | 0.0001 | 0.4249 | 2.8818 | 87.5976
67 | 6.4060 | 0.0002 | 0.2562 | 4.1895 | 85.9554 | 9.8901 | 0.0002 | 0.3956 | 3.0166 | 89.4021
68 | 6.5721 | 0.0002 | 0.2629 | 4.1864 | 86.6086 | 9.7594 | 0.0002 | 0.3904 | 3.0279 | 89.6447
69 | 6.5451 | 0.0002 | 0.2618 | 4.2754 | 87.6233 | 10.1627 | 0.0001 | 0.4065 | 3.0492 | 90.0999
70 | 6.4793 | 0.0002 | 0.2592 | 4.3603 | 89.1417 | 10.1104 | 0.0002 | 0.4044 | 3.0924 | 92.1785
71 | 6.5381 | 0.0002 | 0.2615 | 4.3991 | 90.1005 | 10.1490 | 0.0002 | 0.4060 | 3.0815 | 94.1286
72 | 6.4884 | 0.0002 | 0.2595 | 4.4122 | 90.8660 | 10.0605 | 0.0002 | 0.4024 | 3.0396 | 94.0426
73 | 6.4623 | 0.0002 | 0.2585 | 4.4274 | 92.0835 | 10.0310 | 0.0002 | 0.4012 | 3.0881 | 95.7060
74 | 6.4531 | 0.0002 | 0.2581 | 4.3930 | 93.3623 | 9.7609 | 0.0001 | 0.3904 | 3.1073 | 97.3471
75 | 6.4951 | 0.0002 | 0.2598 | 4.4768 | 94.0279 | 10.2440 | 0.0002 | 0.4098 | 3.1396 | 98.3401
