epoch | loss | sim_loss | var_loss | cov_loss | feat_std | feat_norm | val_loss | val_sim_loss | val_var_loss | val_cov_loss | val_feat_std | val_feat_norm
37 | 30.0036 | 0.4844 | 0.3629 | 8.8210 | 0.8182 | 14.0408 | 54.3843 | 0.2879 | 0.9251 | 24.0597 | 0.5374 | 14.6630
38 | 30.0257 | 0.4831 | 0.3586 | 8.9843 | 0.8200 | 14.0252 | 54.5662 | 0.2733 | 0.9226 | 24.6685 | 0.5371 | 14.6747
39 | 29.8282 | 0.4871 | 0.3553 | 8.7669 | 0.8230 | 14.0775 | 54.7200 | 0.3009 | 0.9122 | 24.3925 | 0.5353 | 14.5726
40 | 30.1696 | 0.4882 | 0.3610 | 8.9399 | 0.8166 | 13.9688 | 54.4535 | 0.2901 | 0.9051 | 24.5730 | 0.5499 | 14.8868
41 | 29.8986 | 0.4925 | 0.3568 | 8.6651 | 0.8194 | 14.0006 | 55.2518 | 0.2872 | 0.9124 | 25.2619 | 0.5493 | 14.8806
42 | 30.3848 | 0.4865 | 0.3645 | 9.1100 | 0.8165 | 13.9615 | 55.7392 | 0.2770 | 0.9401 | 25.3129 | 0.5351 | 14.6896
43 | 30.4040 | 0.4986 | 0.3579 | 8.9905 | 0.8182 | 13.8959 | 55.7793 | 0.2795 | 0.9382 | 25.3368 | 0.5367 | 14.7104
44 | 30.3788 | 0.4864 | 0.3631 | 9.1418 | 0.8161 | 13.9457 | 55.3448 | 0.2903 | 0.9261 | 24.9349 | 0.5355 | 14.5954
45 | 31.1853 | 0.4952 | 0.3754 | 9.4190 | 0.8101 | 13.9003 | 55.3204 | 0.2920 | 0.9445 | 24.4066 | 0.5342 | 14.7641
46 | 31.1310 | 0.4945 | 0.3815 | 9.2291 | 0.8083 | 13.9542 | 53.8614 | 0.2793 | 0.9145 | 24.0158 | 0.5334 | 14.6833
47 | 30.6754 | 0.4879 | 0.3834 | 8.8928 | 0.8111 | 13.9842 | 54.4939 | 0.2785 | 0.9272 | 24.3493 | 0.5419 | 14.8235
48 | 31.1335 | 0.4932 | 0.3933 | 8.9700 | 0.8054 | 13.9604 | 53.6181 | 0.2787 | 0.9392 | 23.1717 | 0.5242 | 14.6913
49 | 31.6249 | 0.4949 | 0.4017 | 9.2079 | 0.8034 | 13.9933 | 54.3954 | 0.2979 | 0.9291 | 23.7217 | 0.5304 | 14.5572
50 | 31.0501 | 0.4924 | 0.3880 | 9.0402 | 0.8093 | 13.9989 | 54.0531 | 0.2721 | 0.9540 | 23.4027 | 0.5239 | 14.8063
51 | 31.2332 | 0.4904 | 0.4097 | 8.7306 | 0.8019 | 14.0391 | 55.3884 | 0.2957 | 0.9462 | 24.3417 | 0.5316 | 14.8010
52 | 31.3663 | 0.4871 | 0.4067 | 9.0224 | 0.8041 | 14.0527 | 55.5670 | 0.2902 | 0.9405 | 24.7996 | 0.5394 | 14.8543
53 | 31.0201 | 0.4911 | 0.3989 | 8.7697 | 0.8061 | 14.0608 | 53.7916 | 0.2777 | 0.9411 | 23.3210 | 0.5256 | 14.7903
54 | 31.3781 | 0.4949 | 0.4012 | 8.9757 | 0.8042 | 14.0183 | 53.7430 | 0.2850 | 0.9445 | 23.0044 | 0.5255 | 14.6850
55 | 31.5317 | 0.5005 | 0.3987 | 9.0521 | 0.8039 | 13.9842 | 55.1310 | 0.3175 | 0.9517 | 23.4009 | 0.5239 | 14.6748
epoch | loss | sim_loss | var_loss | cov_loss | feat_std | feat_norm | val_loss | val_sim_loss | val_var_loss | val_cov_loss | val_feat_std | val_feat_norm
1 | 74.7926 | 0.5386 | 0.9823 | 36.7704 | 0.4846 | 15.1801 | 181.1258 | 0.5530 | 1.5370 | 128.8743 | 0.1631 | 19.7924
2 | 73.9224 | 0.5588 | 0.9356 | 36.5631 | 0.5314 | 15.7585 | 180.4415 | 0.5305 | 1.5429 | 128.6065 | 0.1566 | 19.4868
3 | 73.9194 | 0.5592 | 0.9347 | 36.5710 | 0.5322 | 15.7669 | 176.4738 | 0.5082 | 1.5428 | 125.1979 | 0.1568 | 18.9674
4 | 73.9183 | 0.5593 | 0.9343 | 36.5763 | 0.5326 | 15.7699 | 173.3216 | 0.4940 | 1.5422 | 122.4166 | 0.1572 | 18.7112
5 | 73.9189 | 0.5595 | 0.9341 | 36.5790 | 0.5328 | 15.7723 | 173.5288 | 0.4908 | 1.5402 | 122.7553 | 0.1584 | 18.6178
6 | 73.9191 | 0.5595 | 0.9339 | 36.5824 | 0.5330 | 15.7739 | 169.9260 | 0.4792 | 1.5423 | 119.3882 | 0.1561 | 18.3730
7 | 73.9068 | 0.5596 | 0.9338 | 36.5719 | 0.5331 | 15.7753 | 168.8099 | 0.4855 | 1.5453 | 118.0412 | 0.1524 | 18.4768
8 | 73.9129 | 0.5596 | 0.9337 | 36.5789 | 0.5332 | 15.7761 | 170.0408 | 0.4928 | 1.5462 | 119.0647 | 0.1506 | 18.6391
9 | 73.9080 | 0.5597 | 0.9336 | 36.5753 | 0.5333 | 15.7771 | 167.4194 | 0.4776 | 1.5453 | 116.8464 | 0.1526 | 18.2584
10 | 73.9074 | 0.5597 | 0.9336 | 36.5756 | 0.5333 | 15.7774 | 168.6359 | 0.4808 | 1.5443 | 118.0076 | 0.1536 | 18.3180
11 | 73.9002 | 0.5597 | 0.9335 | 36.5697 | 0.5334 | 15.7781 | 167.7205 | 0.4808 | 1.5438 | 117.1060 | 0.1538 | 18.4027
12 | 73.9011 | 0.5597 | 0.9335 | 36.5703 | 0.5334 | 15.7781 | 165.1558 | 0.4787 | 1.5459 | 114.5416 | 0.1517 | 18.2720
13 | 73.9017 | 0.5597 | 0.9335 | 36.5720 | 0.5334 | 15.7780 | 165.6153 | 0.4788 | 1.5454 | 115.0105 | 0.1521 | 18.2811
