epoch | loss | sim_loss | var_pred | var_target | cov_pred | cov_target | feat_std | feat_std_ctx | feat_norm | val_loss | val_sim_loss | val_var_pred | val_var_target | val_cov_pred | val_cov_target | val_feat_std | val_feat_std_ctx | val_feat_norm
1 | 131.4317 | 0.5170 | 0.6144 | 0.3591 | 16.5540 | 33.2214 | 0.3855 | 0.6670 | 6.2520 | 155.3415 | 0.4966 | 0.6648 | 0.4333 | 26.9327 | 47.2643 | 0.3351 | 0.5889 | 5.5951
2 | 119.8878 | 0.4873 | 0.6184 | 0.3590 | 14.0243 | 33.2194 | 0.3815 | 0.6670 | 5.3048 | 140.8729 | 0.4565 | 0.6868 | 0.4333 | 23.0714 | 47.2535 | 0.3131 | 0.5888 | 4.1233
3 | 108.2824 | 0.4556 | 0.6499 | 0.3591 | 9.9150 | 33.2197 | 0.3499 | 0.6670 | 4.1380 | 135.0944 | 0.4312 | 0.7560 | 0.4332 | 20.2320 | 47.2408 | 0.2438 | 0.5888 | 2.9215
4 | 102.5354 | 0.4419 | 0.6964 | 0.3591 | 5.7424 | 33.2247 | 0.3035 | 0.6670 | 3.4732 | 135.1701 | 0.4190 | 0.8374 | 0.4333 | 19.1606 | 47.2562 | 0.1622 | 0.5889 | 1.9794
5 | 100.0037 | 0.4344 | 0.7277 | 0.3590 | 3.5097 | 33.2192 | 0.2722 | 0.6670 | 3.0790 | 135.5452 | 0.4121 | 0.8820 | 0.4332 | 18.1915 | 47.2445 | 0.1175 | 0.5889 | 1.4370
6 | 99.0420 | 0.4315 | 0.7315 | 0.3590 | 2.6247 | 33.2204 | 0.2684 | 0.6670 | 3.0206 | 135.8453 | 0.4089 | 0.8927 | 0.4333 | 18.0854 | 47.2609 | 0.1068 | 0.5889 | 1.2993
7 | 98.5464 | 0.4302 | 0.7271 | 0.3591 | 2.1780 | 33.2243 | 0.2728 | 0.6670 | 3.0642 | 135.9407 | 0.4066 | 0.8976 | 0.4333 | 17.9921 | 47.2604 | 0.1019 | 0.5889 | 1.2418
8 | 98.2099 | 0.4289 | 0.7254 | 0.3590 | 1.8844 | 33.2169 | 0.2745 | 0.6669 | 3.0812 | 135.9755 | 0.4047 | 0.9013 | 0.4333 | 17.8924 | 47.2477 | 0.0981 | 0.5888 | 1.2052
9 | 97.9763 | 0.4278 | 0.7246 | 0.3590 | 1.6704 | 33.2192 | 0.2752 | 0.6668 | 3.0896 | 136.0012 | 0.4035 | 0.9042 | 0.4333 | 17.7933 | 47.2516 | 0.0952 | 0.5887 | 1.1789
10 | 97.8086 | 0.4268 | 0.7242 | 0.3591 | 1.5146 | 33.2210 | 0.2757 | 0.6667 | 3.0955 | 135.9720 | 0.4024 | 0.9068 | 0.4332 | 17.6827 | 47.2233 | 0.0926 | 0.5886 | 1.1622
11 | 97.6873 | 0.4260 | 0.7239 | 0.3591 | 1.4067 | 33.2188 | 0.2760 | 0.6666 | 3.0998 | 136.0265 | 0.4014 | 0.9090 | 0.4332 | 17.6370 | 47.2275 | 0.0904 | 0.5885 | 1.1520
12 | 97.6034 | 0.4253 | 0.7237 | 0.3591 | 1.3319 | 33.2179 | 0.2761 | 0.6664 | 3.1029 | 136.1350 | 0.4009 | 0.9109 | 0.4332 | 17.6402 | 47.2444 | 0.0884 | 0.5884 | 1.1430
13 | 97.5400 | 0.4248 | 0.7235 | 0.3591 | 1.2754 | 33.2178 | 0.2763 | 0.6663 | 3.1057 | 136.2432 | 0.4002 | 0.9127 | 0.4332 | 17.6842 | 47.2289 | 0.0866 | 0.5883 | 1.1386
