epoch | loss | sim_loss | var_pred | var_target | cov_pred | cov_target | feat_std | feat_std_ctx | feat_norm | val_loss | val_sim_loss | val_var_pred | val_var_target | val_cov_pred | val_cov_target | val_feat_std | val_feat_std_ctx | val_feat_norm
1 | 4.6567 | 0.3875 | 0.8130 | 0.1623 | 1.3953 | 30.7445 | 0.1868 | 0.8851 | 3.8174 | 6.1276 | 0.3532 | 0.8652 | 0.1531 | 18.8127 | 28.3747 | 0.1345 | 0.9244 | 2.8851
2 | 1.9728 | 0.3619 | 0.7903 | 0.0541 | 1.2824 | 5.3898 | 0.2095 | 0.9865 | 4.1422 | 4.5078 | 0.3379 | 0.8228 | 0.1243 | 11.8871 | 19.6114 | 0.1770 | 0.9387 | 3.6398
3 | 1.8121 | 0.3447 | 0.7809 | 0.0535 | 1.2942 | 3.9238 | 0.2189 | 0.9550 | 4.3184 | 3.8109 | 0.3263 | 0.7994 | 0.1105 | 9.0980 | 15.6758 | 0.2004 | 0.9011 | 4.0693
4 | 1.7154 | 0.3334 | 0.7754 | 0.0518 | 1.2983 | 3.0668 | 0.2244 | 0.8919 | 4.4181 | 3.5524 | 0.3185 | 0.7874 | 0.1033 | 8.4098 | 13.9038 | 0.2124 | 0.8294 | 4.3008
5 | 1.6628 | 0.3254 | 0.7719 | 0.0513 | 1.3023 | 2.6125 | 0.2279 | 0.8054 | 4.4767 | 3.4523 | 0.3129 | 0.7805 | 0.0991 | 8.2714 | 13.1267 | 0.2194 | 0.7375 | 4.4250
6 | 1.6292 | 0.3188 | 0.7701 | 0.0550 | 1.3036 | 2.2983 | 0.2297 | 0.7026 | 4.5056 | 3.3087 | 0.3066 | 0.7769 | 0.1025 | 7.8687 | 12.1176 | 0.2229 | 0.6368 | 4.4833
7 | 1.6091 | 0.3130 | 0.7693 | 0.0627 | 1.3047 | 2.0744 | 0.2305 | 0.6010 | 4.5183 | 3.2876 | 0.3023 | 0.7763 | 0.1075 | 7.9338 | 11.8316 | 0.2235 | 0.5426 | 4.4932
8 | 1.5959 | 0.3101 | 0.7687 | 0.0675 | 1.3060 | 1.9184 | 0.2312 | 0.5127 | 4.5297 | 3.2405 | 0.3020 | 0.7744 | 0.1084 | 7.7225 | 11.5622 | 0.2255 | 0.4658 | 4.5222
9 | 1.5905 | 0.3108 | 0.7681 | 0.0688 | 1.3072 | 1.8396 | 0.2317 | 0.4428 | 4.5388 | 3.2252 | 0.3041 | 0.7744 | 0.1068 | 7.5089 | 11.6191 | 0.2254 | 0.4051 | 4.5162
10 | 1.5923 | 0.3133 | 0.7680 | 0.0681 | 1.3096 | 1.8368 | 0.2319 | 0.3912 | 4.5403 | 3.2350 | 0.3070 | 0.7733 | 0.1044 | 7.5603 | 11.6543 | 0.2266 | 0.3643 | 4.5378
11 | 1.5949 | 0.3163 | 0.7674 | 0.0661 | 1.3137 | 1.8458 | 0.2324 | 0.3592 | 4.5493 | 3.3093 | 0.3083 | 0.7706 | 0.1023 | 7.8900 | 12.0567 | 0.2293 | 0.3419 | 4.6071
