epoch | loss | sim_loss | var_pred | var_target | var_ctx | cov_pred | cov_target | cov_ctx | feat_std | feat_std_ctx | feat_norm | val_loss | val_sim_loss | val_var_pred | val_var_target | val_var_ctx | val_cov_pred | val_cov_target | val_cov_ctx | val_feat_std | val_feat_std_ctx | val_feat_norm
78 | 20.9600 | 1.9003 | 0.0156 | 0.0100 | 0.0014 | 1.1623 | 0.0611 | 0.0592 | 0.9866 | 1.0262 | 7.8867 | 65.1260 | 1.0745 | 0.4257 | 0.3563 | 0.3273 | 19.4403 | 3.9547 | 3.2518 | 0.6126 | 0.6948 | 5.7589
79 | 20.9536 | 1.8996 | 0.0156 | 0.0100 | 0.0015 | 1.1625 | 0.0612 | 0.0592 | 0.9866 | 1.0259 | 7.8865 | 65.1547 | 1.0767 | 0.4258 | 0.3569 | 0.3284 | 19.4142 | 3.9532 | 3.2425 | 0.6124 | 0.6936 | 5.7559
80 | 20.9574 | 1.8997 | 0.0156 | 0.0100 | 0.0015 | 1.1624 | 0.0611 | 0.0592 | 0.9865 | 1.0256 | 7.8859 | 65.1359 | 1.0762 | 0.4261 | 0.3573 | 0.3283 | 19.3904 | 3.9510 | 3.2402 | 0.6122 | 0.6937 | 5.7544
81 | 20.9535 | 1.8996 | 0.0155 | 0.0100 | 0.0015 | 1.1624 | 0.0611 | 0.0591 | 0.9866 | 1.0254 | 7.8866 | 65.1902 | 1.0761 | 0.4260 | 0.3576 | 0.3297 | 19.3737 | 3.9656 | 3.2602 | 0.6122 | 0.6923 | 5.7536
82 | 20.9545 | 1.8995 | 0.0156 | 0.0100 | 0.0016 | 1.1625 | 0.0610 | 0.0591 | 0.9866 | 1.0253 | 7.8866 | 65.2120 | 1.0769 | 0.4262 | 0.3584 | 0.3302 | 19.3566 | 3.9595 | 3.2576 | 0.6119 | 0.6916 | 5.7522
83 | 20.9530 | 1.8995 | 0.0155 | 0.0099 | 0.0015 | 1.1628 | 0.0610 | 0.0591 | 0.9867 | 1.0251 | 7.8868 | 65.2243 | 1.0773 | 0.4263 | 0.3587 | 0.3301 | 19.3440 | 3.9701 | 3.2593 | 0.6119 | 0.6916 | 5.7505
84 | 20.9512 | 1.8992 | 0.0156 | 0.0100 | 0.0016 | 1.1628 | 0.0610 | 0.0591 | 0.9866 | 1.0249 | 7.8863 | 65.2503 | 1.0773 | 0.4263 | 0.3589 | 0.3305 | 19.3290 | 3.9786 | 3.2771 | 0.6118 | 0.6911 | 5.7490
85 | 20.9504 | 1.8989 | 0.0156 | 0.0099 | 0.0016 | 1.1628 | 0.0610 | 0.0591 | 0.9866 | 1.0247 | 7.8858 | 65.2536 | 1.0761 | 0.4264 | 0.3591 | 0.3316 | 19.3021 | 3.9935 | 3.2677 | 0.6117 | 0.6902 | 5.7479
86 | 20.9471 | 1.8985 | 0.0156 | 0.0100 | 0.0016 | 1.1629 | 0.0609 | 0.0590 | 0.9866 | 1.0245 | 7.8857 | 65.2183 | 1.0746 | 0.4265 | 0.3588 | 0.3317 | 19.2987 | 3.9930 | 3.2558 | 0.6116 | 0.6902 | 5.7472
87 | 20.9467 | 1.8987 | 0.0155 | 0.0099 | 0.0016 | 1.1630 | 0.0609 | 0.0590 | 0.9866 | 1.0243 | 7.8861 | 65.2523 | 1.0758 | 0.4267 | 0.3594 | 0.3318 | 19.2859 | 3.9811 | 3.2815 | 0.6114 | 0.6898 | 5.7468
88 | 20.9470 | 1.8985 | 0.0156 | 0.0099 | 0.0017 | 1.1631 | 0.0609 | 0.0589 | 0.9866 | 1.0240 | 7.8860 | 65.2906 | 1.0748 | 0.4268 | 0.3604 | 0.3322 | 19.2864 | 3.9901 | 3.2819 | 0.6113 | 0.6894 | 5.7461
89 | 20.9475 | 1.8982 | 0.0157 | 0.0099 | 0.0017 | 1.1632 | 0.0609 | 0.0590 | 0.9865 | 1.0237 | 7.8851 | 65.3004 | 1.0759 | 0.4268 | 0.3604 | 0.3334 | 19.2629 | 3.9886 | 3.2752 | 0.6113 | 0.6880 | 5.7452
90 | 20.9490 | 1.8981 | 0.0157 | 0.0099 | 0.0018 | 1.1631 | 0.0608 | 0.0589 | 0.9865 | 1.0234 | 7.8848 | 65.2918 | 1.0759 | 0.4268 | 0.3607 | 0.3332 | 19.2461 | 3.9931 | 3.2765 | 0.6113 | 0.6884 | 5.7441
91 | 20.9475 | 1.8978 | 0.0157 | 0.0099 | 0.0018 | 1.1631 | 0.0608 | 0.0589 | 0.9864 | 1.0231 | 7.8841 | 65.3061 | 1.0764 | 0.4269 | 0.3603 | 0.3334 | 19.2347 | 4.0098 | 3.2813 | 0.6112 | 0.6881 | 5.7445
92 | 20.9490 | 1.8976 | 0.0158 | 0.0099 | 0.0019 | 1.1632 | 0.0608 | 0.0589 | 0.9863 | 1.0228 | 7.8832 | 65.2777 | 1.0746 | 0.4269 | 0.3602 | 0.3339 | 19.2284 | 3.9956 | 3.2825 | 0.6112 | 0.6875 | 5.7445
93 | 20.9471 | 1.8977 | 0.0157 | 0.0099 | 0.0019 | 1.1629 | 0.0607 | 0.0589 | 0.9864 | 1.0226 | 7.8844 | 65.2937 | 1.0758 | 0.4267 | 0.3606 | 0.3336 | 19.2261 | 4.0023 | 3.2828 | 0.6114 | 0.6878 | 5.7443
94 | 20.9449 | 1.8977 | 0.0156 | 0.0099 | 0.0019 | 1.1633 | 0.0608 | 0.0588 | 0.9865 | 1.0225 | 7.8853 | 65.2717 | 1.0743 | 0.4267 | 0.3610 | 0.3342 | 19.2052 | 4.0039 | 3.2713 | 0.6114 | 0.6873 | 5.7465
95 | 20.9443 | 1.8977 | 0.0156 | 0.0099 | 0.0019 | 1.1633 | 0.0607 | 0.0588 | 0.9866 | 1.0225 | 7.8856 | 65.2821 | 1.0755 | 0.4267 | 0.3610 | 0.3337 | 19.2073 | 3.9960 | 3.2886 | 0.6114 | 0.6877 | 5.7452
96 | 20.9443 | 1.8977 | 0.0156 | 0.0099 | 0.0019 | 1.1634 | 0.0607 | 0.0588 | 0.9866 | 1.0224 | 7.8857 | 65.2996 | 1.0754 | 0.4268 | 0.3605 | 0.3352 | 19.1969 | 4.0099 | 3.2760 | 0.6113 | 0.6862 | 5.7445
97 | 20.9440 | 1.8974 | 0.0157 | 0.0099 | 0.0019 | 1.1637 | 0.0607 | 0.0588 | 0.9865 | 1.0223 | 7.8850 | 65.3193 | 1.0751 | 0.4268 | 0.3616 | 0.3349 | 19.1823 | 4.0135 | 3.2902 | 0.6114 | 0.6865 | 5.7444
98 | 20.9417 | 1.8974 | 0.0156 | 0.0099 | 0.0019 | 1.1638 | 0.0607 | 0.0587 | 0.9866 | 1.0222 | 7.8856 | 65.3255 | 1.0762 | 0.4268 | 0.3614 | 0.3353 | 19.1802 | 3.9979 | 3.2980 | 0.6113 | 0.6859 | 5.7446
99 | 20.9419 | 1.8974 | 0.0156 | 0.0098 | 0.0020 | 1.1638 | 0.0607 | 0.0587 | 0.9866 | 1.0221 | 7.8856 | 65.3088 | 1.0747 | 0.4267 | 0.3620 | 0.3355 | 19.1603 | 4.0117 | 3.2874 | 0.6115 | 0.6857 | 5.7449
100 | 20.9371 | 1.8966 | 0.0157 | 0.0098 | 0.0020 | 1.1640 | 0.0606 | 0.0587 | 0.9865 | 1.0220 | 7.8848 | 65.3125 | 1.0747 | 0.4269 | 0.3620 | 0.3358 | 19.1429 | 4.0230 | 3.2815 | 0.6113 | 0.6855 | 5.7438
epoch | loss | sim_loss | var_pred | var_target | var_ctx | cov_pred | cov_target | cov_ctx | feat_std | feat_std_ctx | feat_norm | val_loss | val_sim_loss | val_var_pred | val_var_target | val_var_ctx | val_cov_pred | val_cov_target | val_cov_ctx | val_feat_std | val_feat_std_ctx | val_feat_norm
1 | 37.7933 | 0.0160 | 0.9171 | 0.9152 | 0.3496 | 13.2737 | 13.7272 | 13.7662 | 0.0618 | 0.6735 | 0.7487 | 42.6144 | 0.0160 | 0.9171 | 0.9251 | 0.4252 | 12.8224 | 18.4367 | 18.5167 | 0.0610 | 0.5922 | 0.7389
2 | 36.8487 | 0.0158 | 0.9170 | 0.9161 | 0.3519 | 12.0564 | 13.9709 | 14.0120 | 0.0596 | 0.6658 | 0.7198 | 41.9434 | 0.0158 | 0.9165 | 0.9284 | 0.4443 | 11.4902 | 19.0183 | 19.0897 | 0.0580 | 0.5643 | 0.6939
3 | 35.1759 | 0.0158 | 0.9137 | 0.9240 | 0.4032 | 10.5742 | 13.7543 | 13.7847 | 0.0564 | 0.6007 | 0.6516 | 40.0783 | 0.0161 | 0.9115 | 0.9426 | 0.5536 | 10.3247 | 18.2883 | 18.3762 | 0.0539 | 0.4473 | 0.6030
4 | 35.5417 | 0.0162 | 0.9110 | 0.9321 | 0.4586 | 7.5186 | 16.7860 | 17.1121 | 0.0514 | 0.5414 | 0.5685 | 39.6711 | 0.0167 | 0.9186 | 0.9545 | 0.6564 | 9.3622 | 18.6446 | 18.8721 | 0.0440 | 0.3454 | 0.5155
5 | 24.3454 | 0.0160 | 0.9125 | 0.9583 | 0.6861 | 3.3132 | 10.3111 | 9.4442 | 0.0435 | 0.3137 | 0.4900 | 34.2859 | 0.0149 | 0.9392 | 0.9845 | 0.9126 | 10.1929 | 12.6548 | 12.8939 | 0.0264 | 0.0866 | 0.4027
6 | 12.2748 | 0.0135 | 0.8995 | 0.9763 | 0.8230 | 1.9786 | 0.4028 | 0.3528 | 0.0395 | 0.1767 | 0.3863 | 32.4165 | 0.0101 | 0.9173 | 0.9879 | 0.9482 | 10.8276 | 10.4196 | 11.1872 | 0.0164 | 0.0504 | 0.1984
7 | 11.7328 | 0.0123 | 0.8841 | 0.9776 | 0.8316 | 1.8057 | 0.1287 | 0.1279 | 0.0389 | 0.1681 | 0.3204 | 32.2949 | 0.0097 | 0.9093 | 0.9883 | 0.9518 | 11.0801 | 10.1060 | 10.9654 | 0.0146 | 0.0467 | 0.1610
8 | 11.6893 | 0.0127 | 0.8814 | 0.9778 | 0.8325 | 1.7934 | 0.1091 | 0.1092 | 0.0386 | 0.1672 | 0.3104 | 32.0891 | 0.0099 | 0.9023 | 0.9884 | 0.9533 | 11.0380 | 9.9837 | 10.8792 | 0.0139 | 0.0452 | 0.1421
9 | 11.6732 | 0.0129 | 0.8800 | 0.9780 | 0.8330 | 1.7905 | 0.1016 | 0.1020 | 0.0384 | 0.1667 | 0.3046 | 31.9906 | 0.0100 | 0.8981 | 0.9884 | 0.9540 | 11.0284 | 9.9174 | 10.8545 | 0.0134 | 0.0444 | 0.1314
10 | 11.6653 | 0.0130 | 0.8793 | 0.9781 | 0.8334 | 1.7895 | 0.0973 | 0.0977 | 0.0382 | 0.1663 | 0.3013 | 31.9421 | 0.0099 | 0.8960 | 0.9885 | 0.9545 | 11.0310 | 9.8796 | 10.8204 | 0.0131 | 0.0439 | 0.1261
11 | 11.6224 | 0.0128 | 0.8799 | 0.9781 | 0.8336 | 1.7470 | 0.0952 | 0.0956 | 0.0381 | 0.1661 | 0.3019 | 31.9335 | 0.0094 | 0.8987 | 0.9885 | 0.9550 | 11.0450 | 9.8479 | 10.8028 | 0.0130 | 0.0434 | 0.1280
12 | 11.5927 | 0.0129 | 0.8797 | 0.9782 | 0.8338 | 1.7197 | 0.0927 | 0.0931 | 0.0379 | 0.1659 | 0.3003 | 31.8665 | 0.0098 | 0.8960 | 0.9885 | 0.9553 | 11.0527 | 9.7884 | 10.7601 | 0.0127 | 0.0431 | 0.1224
13 | 11.5902 | 0.0131 | 0.8793 | 0.9782 | 0.8341 | 1.7193 | 0.0912 | 0.0916 | 0.0378 | 0.1656 | 0.2986 | 31.8058 | 0.0100 | 0.8950 | 0.9885 | 0.9556 | 11.0438 | 9.7444 | 10.7248 | 0.0125 | 0.0428 | 0.1195
14 | 11.5886 | 0.0132 | 0.8792 | 0.9783 | 0.8343 | 1.7192 | 0.0900 | 0.0905 | 0.0377 | 0.1654 | 0.2975 | 31.8209 | 0.0100 | 0.8945 | 0.9886 | 0.9558 | 11.0354 | 9.7690 | 10.7356 | 0.0124 | 0.0426 | 0.1175
15 | 11.5878 | 0.0132 | 0.8790 | 0.9783 | 0.8345 | 1.7192 | 0.0895 | 0.0899 | 0.0376 | 0.1652 | 0.2966 | 31.7569 | 0.0100 | 0.8941 | 0.9886 | 0.9559 | 11.0145 | 9.7272 | 10.7388 | 0.0123 | 0.0425 | 0.1158
16 | 11.5871 | 0.0133 | 0.8789 | 0.9784 | 0.8347 | 1.7192 | 0.0890 | 0.0895 | 0.0376 | 0.1650 | 0.2957 | 31.7596 | 0.0100 | 0.8940 | 0.9886 | 0.9559 | 11.0113 | 9.7357 | 10.7164 | 0.0122 | 0.0425 | 0.1148
17 | 11.5866 | 0.0133 | 0.8788 | 0.9784 | 0.8348 | 1.7191 | 0.0889 | 0.0894 | 0.0375 | 0.1649 | 0.2948 | 31.7003 | 0.0101 | 0.8938 | 0.9886 | 0.9560 | 10.9872 | 9.7048 | 10.6821 | 0.0121 | 0.0424 | 0.1138
18 | 11.5862 | 0.0133 | 0.8787 | 0.9784 | 0.8350 | 1.7191 | 0.0887 | 0.0892 | 0.0374 | 0.1647 | 0.2940 | 31.6511 | 0.0100 | 0.8939 | 0.9886 | 0.9560 | 10.9752 | 9.6697 | 10.6610 | 0.0120 | 0.0424 | 0.1131
19 | 11.5861 | 0.0133 | 0.8786 | 0.9784 | 0.8352 | 1.7191 | 0.0888 | 0.0893 | 0.0374 | 0.1646 | 0.2933 | 31.6208 | 0.0100 | 0.8939 | 0.9886 | 0.9560 | 10.9573 | 9.6585 | 10.6461 | 0.0119 | 0.0424 | 0.1122
epoch | loss | sim_loss | var_pred | var_target | var_ctx | cov_pred | cov_target | cov_ctx | feat_std | feat_std_ctx | feat_norm | val_loss | val_sim_loss | val_var_pred | val_var_target | val_var_ctx | val_cov_pred | val_cov_target | val_cov_ctx | val_feat_std | val_feat_std_ctx | val_feat_norm
1 | 31.3518 | 0.0149 | 0.9358 | 0.9115 | 0.3431 | 7.0241 | 13.4933 | 13.5216 | 0.0003 | 0.7029 | 0.0050 | 42.4249 | 0.0145 | 0.9450 | 0.9190 | 0.4019 | 11.8535 | 19.0648 | 19.1321 | 0.0002 | 0.6409 | 0.0040
2 | 28.5805 | 0.0144 | 0.9350 | 0.9115 | 0.3431 | 4.2585 | 13.4937 | 13.5205 | 0.0003 | 0.7029 | 0.0045 | 41.9277 | 0.0142 | 0.9604 | 0.9190 | 0.4019 | 11.2744 | 19.0709 | 19.1300 | 0.0002 | 0.6409 | 0.0042
3 | 27.3117 | 0.0144 | 0.9404 | 0.9115 | 0.3432 | 2.9644 | 13.4927 | 13.5215 | 0.0003 | 0.7028 | 0.0043 | 41.4831 | 0.0140 | 0.9635 | 0.9190 | 0.4019 | 10.8184 | 19.0694 | 19.1192 | 0.0002 | 0.6408 | 0.0038
4 | 26.5520 | 0.0137 | 0.9306 | 0.9115 | 0.3432 | 2.2568 | 13.4927 | 13.5183 | 0.0002 | 0.7027 | 0.0034 | 40.5489 | 0.0130 | 0.9428 | 0.9190 | 0.4020 | 10.0067 | 19.0547 | 19.1247 | 0.0001 | 0.6407 | 0.0022
5 | 26.0376 | 0.0139 | 0.8990 | 0.9115 | 0.3433 | 1.9048 | 13.4875 | 13.5186 | 0.0002 | 0.7025 | 0.0021 | 39.9722 | 0.0133 | 0.9205 | 0.9190 | 0.4021 | 9.5353 | 19.0603 | 19.1143 | 0.0001 | 0.6405 | 0.0012
6 | 25.8222 | 0.0140 | 0.8896 | 0.9115 | 0.3435 | 1.7363 | 13.4873 | 13.5160 | 0.0002 | 0.7023 | 0.0018 | 39.8792 | 0.0133 | 0.9125 | 0.9190 | 0.4023 | 9.4794 | 19.0628 | 19.1172 | 0.0001 | 0.6403 | 0.0009
7 | 25.6473 | 0.0142 | 0.8843 | 0.9115 | 0.3436 | 1.5878 | 13.4864 | 13.5150 | 0.0002 | 0.7021 | 0.0016 | 39.9155 | 0.0130 | 0.9049 | 0.9190 | 0.4024 | 9.5730 | 19.0453 | 19.1173 | 0.0001 | 0.6400 | 0.0007
8 | 25.6112 | 0.0142 | 0.8807 | 0.9115 | 0.3438 | 1.5713 | 13.4851 | 13.5121 | 0.0002 | 0.7018 | 0.0016 | 40.0815 | 0.0125 | 0.8979 | 0.9190 | 0.4026 | 9.7717 | 19.0509 | 19.1084 | 0.0001 | 0.6398 | 0.0006
9 | 25.5982 | 0.0141 | 0.8790 | 0.9115 | 0.3440 | 1.5691 | 13.4829 | 13.5099 | 0.0002 | 0.7014 | 0.0015 | 40.1099 | 0.0121 | 0.8939 | 0.9190 | 0.4028 | 9.8270 | 19.0456 | 19.1057 | 0.0001 | 0.6395 | 0.0005
10 | 25.5892 | 0.0141 | 0.8782 | 0.9115 | 0.3443 | 1.5683 | 13.4789 | 13.5093 | 0.0002 | 0.7010 | 0.0015 | 40.1602 | 0.0120 | 0.8921 | 0.9190 | 0.4032 | 9.8946 | 19.0382 | 19.1014 | 0.0001 | 0.6390 | 0.0005
11 | 25.5867 | 0.0141 | 0.8778 | 0.9115 | 0.3446 | 1.5681 | 13.4790 | 13.5046 | 0.0002 | 0.7005 | 0.0015 | 40.2001 | 0.0120 | 0.8911 | 0.9190 | 0.4034 | 9.9395 | 19.0389 | 19.0938 | 0.0001 | 0.6387 | 0.0005
12 | 25.5807 | 0.0140 | 0.8776 | 0.9115 | 0.3449 | 1.5680 | 13.4744 | 13.5021 | 0.0002 | 0.7001 | 0.0015 | 40.1883 | 0.0118 | 0.8906 | 0.9190 | 0.4037 | 9.9424 | 19.0277 | 19.0922 | 0.0001 | 0.6382 | 0.0005
13 | 25.5789 | 0.0140 | 0.8775 | 0.9115 | 0.3452 | 1.5679 | 13.4737 | 13.4986 | 0.0002 | 0.6996 | 0.0015 | 40.1796 | 0.0116 | 0.8902 | 0.9190 | 0.4039 | 9.9374 | 19.0276 | 19.0857 | 0.0001 | 0.6378 | 0.0005
14 | 25.5731 | 0.0139 | 0.8775 | 0.9115 | 0.3455 | 1.5678 | 13.4685 | 13.4971 | 0.0002 | 0.6992 | 0.0015 | 40.1714 | 0.0116 | 0.8897 | 0.9190 | 0.4042 | 9.9378 | 19.0219 | 19.0799 | 0.0001 | 0.6375 | 0.0005
15 | 25.5719 | 0.0139 | 0.8774 | 0.9115 | 0.3459 | 1.5678 | 13.4679 | 13.4955 | 0.0002 | 0.6987 | 0.0015 | 40.1850 | 0.0114 | 0.8893 | 0.9190 | 0.4045 | 9.9626 | 19.0141 | 19.0715 | 0.0001 | 0.6370 | 0.0005
16 | 25.5683 | 0.0138 | 0.8774 | 0.9115 | 0.3462 | 1.5678 | 13.4647 | 13.4920 | 0.0002 | 0.6982 | 0.0015 | 40.1785 | 0.0114 | 0.8892 | 0.9190 | 0.4048 | 9.9591 | 19.0131 | 19.0600 | 0.0001 | 0.6366 | 0.0005
17 | 25.5629 | 0.0138 | 0.8774 | 0.9115 | 0.3465 | 1.5678 | 13.4598 | 13.4885 | 0.0002 | 0.6978 | 0.0015 | 40.1643 | 0.0112 | 0.8893 | 0.9190 | 0.4050 | 9.9582 | 18.9995 | 19.0654 | 0.0001 | 0.6362 | 0.0005
18 | 25.5599 | 0.0138 | 0.8773 | 0.9115 | 0.3468 | 1.5678 | 13.4572 | 13.4861 | 0.0002 | 0.6973 | 0.0015 | 40.1848 | 0.0112 | 0.8890 | 0.9190 | 0.4053 | 9.9825 | 18.9975 | 19.0632 | 0.0001 | 0.6358 | 0.0005
19 | 25.5585 | 0.0137 | 0.8773 | 0.9115 | 0.3471 | 1.5678 | 13.4564 | 13.4825 | 0.0002 | 0.6969 | 0.0015 | 40.1410 | 0.0110 | 0.8894 | 0.9190 | 0.4056 | 9.9458 | 18.9896 | 19.0561 | 0.0001 | 0.6354 | 0.0005
