epoch | loss | sim_loss | var_pred | var_target | var_ctx | cov_pred | cov_target | cov_ctx | feat_std | feat_std_ctx | feat_norm | val_loss | val_sim_loss | val_var_pred | val_var_target | val_var_ctx | val_cov_pred | val_cov_target | val_cov_ctx | val_feat_std | val_feat_std_ctx | val_feat_norm
20 | 21.2151 | 1.9222 | 0.0149 | 0.0112 | 0.0004 | 1.2062 | 0.0623 | 0.0617 | 0.9874 | 1.0446 | 7.9085 | 64.8693 | 1.2889 | 0.3022 | 0.2601 | 0.2252 | 25.7352 | 3.5432 | 3.0151 | 0.7855 | 0.8401 | 7.1421
21 | 21.2097 | 1.9225 | 0.0149 | 0.0113 | 0.0004 | 1.1972 | 0.0622 | 0.0615 | 0.9874 | 1.0445 | 7.9098 | 64.9455 | 1.2738 | 0.3141 | 0.2638 | 0.2283 | 25.5478 | 3.5195 | 2.9880 | 0.7713 | 0.8341 | 7.0682
22 | 21.2090 | 1.9229 | 0.0150 | 0.0113 | 0.0004 | 1.1900 | 0.0624 | 0.0615 | 0.9873 | 1.0444 | 7.9098 | 65.0467 | 1.2626 | 0.3237 | 0.2687 | 0.2344 | 25.3544 | 3.4658 | 2.9312 | 0.7606 | 0.8260 | 6.9947
23 | 21.2075 | 1.9233 | 0.0150 | 0.0114 | 0.0004 | 1.1832 | 0.0624 | 0.0615 | 0.9873 | 1.0442 | 7.9112 | 65.1304 | 1.2484 | 0.3336 | 0.2732 | 0.2372 | 25.1691 | 3.4342 | 2.9420 | 0.7491 | 0.8192 | 6.9336
24 | 21.2056 | 1.9236 | 0.0150 | 0.0113 | 0.0004 | 1.1779 | 0.0625 | 0.0615 | 0.9873 | 1.0441 | 7.9113 | 64.9664 | 1.2352 | 0.3425 | 0.2753 | 0.2373 | 24.9247 | 3.4214 | 2.8889 | 0.7386 | 0.8182 | 6.8687
25 | 21.1995 | 1.9238 | 0.0150 | 0.0112 | 0.0004 | 1.1730 | 0.0627 | 0.0615 | 0.9873 | 1.0441 | 7.9112 | 65.0411 | 1.2269 | 0.3500 | 0.2775 | 0.2410 | 24.7486 | 3.4124 | 2.8978 | 0.7300 | 0.8105 | 6.8124
26 | 21.1929 | 1.9232 | 0.0151 | 0.0112 | 0.0004 | 1.1695 | 0.0627 | 0.0615 | 0.9871 | 1.0438 | 7.9107 | 64.9898 | 1.2146 | 0.3569 | 0.2806 | 0.2454 | 24.4805 | 3.4060 | 2.8845 | 0.7218 | 0.8045 | 6.7577
27 | 21.1840 | 1.9228 | 0.0150 | 0.0112 | 0.0003 | 1.1667 | 0.0629 | 0.0616 | 0.9872 | 1.0437 | 7.9117 | 64.8037 | 1.2070 | 0.3628 | 0.2819 | 0.2443 | 24.2325 | 3.3884 | 2.8893 | 0.7144 | 0.8027 | 6.7076
28 | 21.1786 | 1.9224 | 0.0151 | 0.0112 | 0.0003 | 1.1646 | 0.0630 | 0.0615 | 0.9872 | 1.0434 | 7.9116 | 64.6528 | 1.1962 | 0.3677 | 0.2850 | 0.2479 | 23.9320 | 3.3809 | 2.8638 | 0.7082 | 0.7981 | 6.6600
29 | 21.1701 | 1.9218 | 0.0151 | 0.0112 | 0.0003 | 1.1632 | 0.0630 | 0.0616 | 0.9872 | 1.0432 | 7.9115 | 64.4111 | 1.1831 | 0.3720 | 0.2861 | 0.2478 | 23.6303 | 3.4034 | 2.8994 | 0.7023 | 0.7960 | 6.6181
30 | 21.1562 | 1.9204 | 0.0151 | 0.0111 | 0.0004 | 1.1624 | 0.0629 | 0.0616 | 0.9871 | 1.0428 | 7.9102 | 64.2437 | 1.1776 | 0.3744 | 0.2876 | 0.2495 | 23.3719 | 3.4025 | 2.9050 | 0.6987 | 0.7931 | 6.5721
31 | 21.1469 | 1.9199 | 0.0151 | 0.0110 | 0.0004 | 1.1619 | 0.0631 | 0.0615 | 0.9871 | 1.0424 | 7.9096 | 64.0515 | 1.1707 | 0.3776 | 0.2891 | 0.2521 | 23.0446 | 3.4224 | 2.9090 | 0.6938 | 0.7882 | 6.5302
32 | 21.1393 | 1.9191 | 0.0152 | 0.0110 | 0.0004 | 1.1614 | 0.0631 | 0.0615 | 0.9871 | 1.0420 | 7.9087 | 63.9478 | 1.1635 | 0.3807 | 0.2922 | 0.2550 | 22.7614 | 3.4332 | 2.9238 | 0.6888 | 0.7834 | 6.4932
